                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     94,                0.50132,                0.47581,                0.94195,                0.88289,                0.81744,                0.89065,                0.72578,                0.76963,                0.88725,                 1.1827,             0.00077116,             0.00077116,             0.00077116
                     95,                0.51827,                0.50321,                0.94234,                 0.8802,                0.85081,                0.89488,                0.70778,                0.79842,                 0.9405,                 1.1797,             0.00076409,             0.00076409,             0.00076409
                     96,                0.55958,                0.51696,                0.94771,                0.98455,                0.76568,                0.90101,                0.72609,                0.81349,                0.96191,                  1.182,             0.00075701,             0.00075701,             0.00075701
                     97,                0.55627,                0.50616,                 0.9596,                0.95996,                0.85496,                0.89819,                0.71413,                0.84147,                0.92456,                 1.1999,             0.00074994,             0.00074994,             0.00074994
                     98,                0.54752,                0.49945,                0.95313,                0.89033,                0.83741,                 0.8829,                0.70168,                0.81324,                0.97767,                 1.1671,             0.00074287,             0.00074287,             0.00074287
                     99,                0.52881,                0.48123,                0.92756,                0.88248,                  0.847,                0.88095,                0.70554,                0.77147,                0.89167,                 1.1239,             0.00073579,             0.00073579,             0.00073579
                    100,                0.52032,                0.49721,                0.93882,                0.92183,                0.80347,                0.88907,                0.71562,                0.76285,                0.88458,                 1.1025,             0.00072872,             0.00072872,             0.00072872
                    101,                0.51926,                  0.496,                0.92502,                0.89769,                0.85887,                0.89968,                0.71045,                0.79473,                0.92005,                 1.1166,             0.00072164,             0.00072164,             0.00072164
                    102,                0.50033,                0.46796,                0.92717,                0.91943,                0.84564,                0.89074,                0.69205,                0.84067,                0.92941,                 1.1428,             0.00071457,             0.00071457,             0.00071457
                    103,                0.49874,                0.46163,                0.91173,                0.91753,                0.81203,                   0.88,                0.70588,                0.82947,                0.93324,                 1.1801,              0.0007075,              0.0007075,              0.0007075
                    104,                0.52841,                0.49559,                0.94434,                0.81887,                0.78202,                0.83382,                0.66466,                0.81771,                0.88535,                 1.2142,             0.00070042,             0.00070042,             0.00070042
                    105,                0.51738,                0.47245,                0.92614,                0.82238,                0.86255,                0.89054,                0.68831,                0.81546,                0.80867,                 1.1992,             0.00069335,             0.00069335,             0.00069335
                    106,                0.50864,                0.46367,                0.92707,                0.81633,                0.83605,                0.85789,                0.63353,                0.83356,                0.98101,                 1.2379,             0.00068628,             0.00068628,             0.00068628
                    107,                0.50647,                0.48702,                 0.9404,                0.84251,                 0.7805,                0.85056,                0.63697,                 0.7808,                0.96306,                 1.1988,              0.0006792,              0.0006792,              0.0006792
